StreetName,StreetCode
BARTOW AVE,706
DREISER LOOP,1438
DEBS PL,1345
ELGAR PL,1726
CASALS PL,1050
ASCH LOOP,604
DE KRUIF PL,1337
ERDMAN PL,1775
BENCHLEY PL,795
REEDS MILL LN,3234
DONIZETTI PL,1415
BIVONA ST,838
ADLER PL,501
BELLAMY LOOP,789
BAYCHESTER AVE,749
EARHART LN,1688
PALMER AVE,3028
ERSKINE PL,1779
HUNTER AVE,2273
CARVER LOOP,1048
COOPER PL,1217
BOLLER AVE,861
DARROW PL,1324
STILLWELL AVE,3615
GIVAN AVE,1967
ALCOTT PL,524
ALDRICH ST,526
BROUN PL,951
DEFOE PL,1349
ROMBOUTS AVE,3333
TILLOTSON AVE,3723
DE REIMER AVE,1338
BOSTON RD,873
HOLLERS AVE,2222
10 AVE,3
72 ST,411
74 ST,417
70 ST,403
11 AVE,25
12 AVE,47
86 ST,452
NEW UTRECHT AVE,2906
BATTERY AVE,716
BENSON AVE,802
INDEPENDENCE AVE,2290
CROPSEY AVE,1274
BATH AVE,714
76 ST,422
83 ST,440
BAY 8 ST,739
80 ST,434
14 AVE,87
85 ST,449
73 ST,415
BAY 7 ST,738
BAY 11 ST,721
16 AVE,131
BAY 10 ST,720
BAY RIDGE PKWY,744
78 ST,428
77 ST,426
71 ST,407
79 ST,432
BAY 22 ST,725
19 AVE,173
HARWAY AVE,2125
KINGS HWY,2425
RUTHERFORD PL,3366
BAY PKWY,742
82 ST,438
BAY 43 ST,736
BAY 34 ST,731
BAY 32 ST,730
BAY 26 ST,727
BAY 35 ST,732
26 AVE,253
BAY 37 ST,733
17 AVE,149
BAY 29 ST,729
18 AVE,162
84 ST,445
BAY 49 ST,737
BAY 20 ST,724
BAY 28 ST,728
BAY 40 ST,735
BAY 25 ST,726
BAY 38 ST,734
BAY 17 ST,723
SHORE PKWY,3492
BAY 16 ST,722
25 AVE,247
81 ST,435
W 15 ST,3911
PLEASANT AVE,3120
E 126 ST,1494
E 117 ST,1488
E 129 ST,1496
E 116 ST,1487
PALADINO AVE,3025
LEXINGTON AVE,2530
E 127 ST,1495
E 122 ST,1492
E 119 ST,1489
E 120 ST,1491
E 123 ST,1493
ARCHER AVE,581
MERRICK BLVD,2751
155 ST,124
177 ST,158
164 ST,140
109 AVE,23
SUTPHIN BLVD,3657
JAMAICA AVE,2323
GUY R BREWER BLVD,2068
LINDEN BLVD,2542
MURDOCK AVE,2847
YATES RD,4246
UNION HALL ST,3775
SHORE AVE,3488
DILLON ST,1396
FERN PL,1833
LIBERTY AVE,2533
SAYRES AVE,3412
164 PL,138
159 ST,130
170 ST,151
107 AVE,19
171 ST,152
169 ST,148
172 ST,153
173 ST,154
TUSKEGEE AIRMEN WAY,3763
108 AVE,21
179 PL,160
DUNKIRK ST,1454
MATHIAS AVE,2710
WATSON PL,4099
GUINZBURG RD,2061
POLHEMUS AVE,3133
176 ST,157
156 ST,126
92 RD,470
160 ST,133
PHROANE AVE,3096
157 ST,127
105 AVE,15
168 PL,146
112 AVE,30
175 ST,156
106 AVE,17
HENDRICKSON PL,2163
MONROE ST,2801
GREENE AVE,2036
CARLTON AVE,1031
DOWNING ST,1434
CUMBERLAND ST,1294
ST MARKS AVE,3565
UNDERHILL AVE,3773
PUTNAM AVE,3184
QUINCY ST,3197
ADELPHI ST,500
WAVERLY AVE,4103
VANDERBILT AVE,3817
GRAND AVE,2008
CLAVER PL,1137
PROSPECT PL,3171
STERLING PL,3607
CLASSON AVE,1136
FRANKLIN AVE,1889
ST JOHNS PL,3561
IRVING PL,2305
CLIFTON PL,1149
GATES AVE,1938
S OXFORD ST,3384
LINCOLN PL,2538
PARK PL,3040
BUTLER PL,992
CLERMONT AVE,1142
LEFFERTS PL,2506
CAMBRIDGE PL,1008
JEFFERSON AVE,2336
EMPIRE BLVD,1769
ORCHARD ST,2994
STANTON ST,3586
LUDLOW ST,2605
CHERRY ST,1102
RIVINGTON ST,3298
ALLEN ST,530
CANAL ST,1020
ESSEX ST,1784
PIKE ST,3101
GRAND ST,2010
FORSYTH ST,1877
DIVISION ST,1403
ELDRIDGE ST,1725
RIDGE ST,3284
NORFOLK ST,2930
ATTORNEY ST,622
SUFFOLK ST,3641
DELANCEY ST,1357
HESTER ST,2182
E HOUSTON ST,1673
CHRYSTIE ST,1120
BOWERY,879
BROOME ST,950
JACKSON ST,2317
BARUCH DR,707
RUTGERS SLIP,3363
PITT ST,3115
BARUCH PL,708
MARKET ST,2690
RUTGERS ST,3364
JEFFERSON ST,2339
BIALYSTOKER PL,824
MONTGOMERY ST,2809
LEWIS ST,2527
GOUVERNEUR ST,1997
CONEY ISLAND AVE,1201
E 23 ST,1585
BRIGHTON 8 ST,921
BRIGHTON 1 RD,910
CORBIN PL,1221
BRIGHTON 6 ST,919
OCEAN AVE,2961
BRIGHTWATER AVE,925
BANNER AVE,685
SHEEPSHEAD BAY RD,3471
DOOLEY ST,1418
COYLE ST,1252
HOMECREST AVE,2230
SHORE BLVD,3489
JEROME AVE,2342
EMMONS AVE,1768
HARING ST,2106
BRIGHTON 10 PATH,912
VOORHIES AVE,3864
HAMPTON AVE,2091
FALMOUTH ST,1813
ORIENTAL BLVD,2997
AMHERST ST,550
NEPTUNE AVE,2895
BEDFORD AVE,771
GUIDER AVE,2059
EXETER ST,1797
IRWIN ST,2309
GIRARD ST,1966
BAY CT,741
WILLIAMS CT,4174
BRIGHTWATER CT,926
AVE Y,656
E 15 ST,1509
BEAUMONT ST,765
KATHLEEN PL,2380
HUBBARD ST,2257
BATCHELDER ST,713
DUNNE CT,1456
