,Violation Code,Violation Location,House Number,Vehicle Year,Registration State,Vehicle Body Type,Vehicle Make,Violation Time,Violation County,Street Name,Intersecting Street,Vehicle Color
351,40,76.0,139,0,39,75,16,1207,2,433,-1,-1
352,40,76.0,139,0,12,70,88,289,2,433,-1,14
353,98,76.0,86,2013,39,70,28,1366,4,519,-1,87
354,40,76.0,137,2016,39,75,16,925,2,433,-1,62
355,48,88.0,80,2016,39,108,49,1258,2,944,-1,144
356,16,88.0,80,2021,39,75,187,1260,2,944,-1,11
357,38,88.0,80,2020,39,108,28,1236,2,944,-1,130
358,71,88.0,80,2008,39,108,59,229,2,944,-1,124
359,46,84.0,103,2014,39,75,49,1181,2,606,-1,67
360,46,84.0,320,2009,39,70,171,1186,2,1608,-1,11
361,17,84.0,320,2021,39,70,72,876,2,1608,-1,65
362,21,84.0,320,2017,12,70,110,1418,2,1608,-1,24
363,17,84.0,320,0,44,108,28,233,2,1608,-1,26
364,76,84.0,320,0,44,108,28,237,2,1608,-1,26
365,14,84.0,320,0,44,1,110,1252,2,1608,-1,130
366,17,84.0,320,2021,39,1,66,1332,2,1608,-1,67
367,14,84.0,49,2001,39,1,16,1236,2,1488,-1,67
368,14,84.0,49,2001,39,1,16,1268,2,1488,-1,67
369,24,84.0,58,2014,39,70,66,1276,2,1882,-1,24
370,24,84.0,58,2016,39,70,49,1260,2,1882,-1,24
371,14,88.0,74,2007,35,70,66,1438,2,2390,-1,119
372,14,88.0,74,2019,39,75,121,1436,2,2390,-1,65
373,46,88.0,74,2003,39,75,97,1444,2,2390,-1,65
374,14,88.0,74,2017,39,70,28,1438,2,2390,-1,18
375,70,88.0,147,2018,0,70,66,1388,4,2150,-1,21
376,51,88.0,147,2013,39,57,66,1388,4,2150,-1,25
377,51,88.0,147,0,44,75,114,328,2,2150,-1,-1
378,14,88.0,147,2020,39,58,49,501,2,2150,-1,55
379,41,88.0,147,1984,39,70,110,537,2,2150,-1,14
380,14,88.0,147,2021,39,70,16,487,2,2150,-1,124
381,51,88.0,147,2018,39,70,-1,350,2,2150,-1,25
382,51,88.0,147,2018,39,70,66,748,2,2150,-1,14
383,51,88.0,147,2021,39,75,83,1286,2,2150,-1,130
384,51,88.0,147,2018,39,70,-1,109,2,2150,-1,25
385,20,88.0,147,2020,39,58,49,680,2,2150,-1,67
386,51,88.0,147,0,39,75,16,622,2,2150,-1,123
387,14,88.0,147,2014,35,70,66,304,2,2150,-1,25
388,20,88.0,147,2021,35,70,66,304,2,2150,-1,24
389,14,88.0,147,2011,39,70,121,630,2,2150,-1,124
390,51,88.0,147,0,39,75,145,1350,2,2150,-1,-1
391,20,84.0,160,0,39,70,76,1302,2,2303,-1,24
392,17,84.0,160,2017,39,70,186,856,2,2303,-1,26
393,17,84.0,160,0,6,75,7,864,-1,2303,-1,55
394,17,84.0,160,0,13,70,110,882,2,2303,-1,132
395,17,84.0,209,0,39,70,171,1084,-1,1624,-1,11
396,48,84.0,225,2019,39,75,83,1440,2,2303,-1,123
397,17,84.0,225,2021,39,75,107,823,2,2303,-1,58
398,48,84.0,227,2019,39,75,40,1446,2,2303,-1,58
399,10,84.0,8,0,31,70,3,1013,2,2020,6,62
400,10,84.0,8,2019,39,75,111,995,2,2020,47,124
